"mention_index","source","citation","claim_context","source_entry","support_verdict","action","notes"
"66","2","[[2]](#source-2)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","European Commission. EU electricity trading in the day-ahead markets becomes more dynamic. https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"67","3","[[3]](#source-3)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","NEURC. Resolution No. 621 of 23 April 2026 on price caps for the day-ahead, intraday, and balancing markets. https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"68","4","[[4]](#source-4)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","JSC Market Operator. The Market Operator tariff for 2026 amounts to UAH 6.88 per MWh. https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"69","8","[[8]](#source-8)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","ACER. ACER will decide on the electricity market coupling integration plan for the Energy Community. https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"70","49","[[49]](#source-49)","Для forecast layer зовнішні ряди можуть бути корисними як exogenous covariates, але лише після licensing, timezone/DST, currency, market-rule, publication-time availability і domain-shift checks. Роботи Li and Becker (2021), Redhu and Bremdal (2023) та Mascarenhas et al. (2025) підтримують ідею neighboring-zone або cross-border features для EPF, а документація Nixtla пояснює технічну підтримку exogenous variables у NeuralForecast/NBEATSx [[49]](#source-49), [[50]](#source-50), [[51]](#source-51), [[52]](#source-52).","Li and Becker. Day-ahead electricity price prediction applying hybrid models of LSTM-based deep learning methods and feature selection algorithms under consideration of market coupling. arXiv:2101.05249. https://arxiv.org/abs/2101.05249","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"71","50","[[50]](#source-50)","Для forecast layer зовнішні ряди можуть бути корисними як exogenous covariates, але лише після licensing, timezone/DST, currency, market-rule, publication-time availability і domain-shift checks. Роботи Li and Becker (2021), Redhu and Bremdal (2023) та Mascarenhas et al. (2025) підтримують ідею neighboring-zone або cross-border features для EPF, а документація Nixtla пояснює технічну підтримку exogenous variables у NeuralForecast/NBEATSx [[49]](#source-49), [[50]](#source-50), [[51]](#source-51), [[52]](#source-52).","Redhu and Bremdal. Day-Ahead Zonal Electricity Price Forecasting using 1D-LSTM with Neighbouring Zones Data. DOI: 10.1109/PowerTech55446.2023.10202771. https://doi.org/10.1109/PowerTech55446.2023.10202771","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"72","51","[[51]](#source-51)","Для forecast layer зовнішні ряди можуть бути корисними як exogenous covariates, але лише після licensing, timezone/DST, currency, market-rule, publication-time availability і domain-shift checks. Роботи Li and Becker (2021), Redhu and Bremdal (2023) та Mascarenhas et al. (2025) підтримують ідею neighboring-zone або cross-border features для EPF, а документація Nixtla пояснює технічну підтримку exogenous variables у NeuralForecast/NBEATSx [[49]](#source-49), [[50]](#source-50), [[51]](#source-51), [[52]](#source-52).","Mascarenhas et al. Leveraging Asynchronous Cross-border Market Data for Improved Day-Ahead Electricity Price Forecasting in European Markets. arXiv:2507.13250. https://arxiv.org/abs/2507.13250","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"73","52","[[52]](#source-52)","Для forecast layer зовнішні ряди можуть бути корисними як exogenous covariates, але лише після licensing, timezone/DST, currency, market-rule, publication-time availability і domain-shift checks. Роботи Li and Becker (2021), Redhu and Bremdal (2023) та Mascarenhas et al. (2025) підтримують ідею neighboring-zone або cross-border features для EPF, а документація Nixtla пояснює технічну підтримку exogenous variables у NeuralForecast/NBEATSx [[49]](#source-49), [[50]](#source-50), [[51]](#source-51), [[52]](#source-52).","Nixtla. NeuralForecast exogenous variables and NBEATSx documentation. https://nixtlaverse.nixtla.io/neuralforecast/docs/capabilities/exogenous_variables.html and https://nixtlaverse.nixtla.io/neuralforecast/models.nbeatsx.html","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"74","53","[[53]](#source-53)","Погодні ознаки також потребують явного source contract: для цього релевантні документації Open-Meteo Forecast API та Historical Weather API, але ці джерела не скасовують вимоги перевіряти availability timing і leakage risk [[53]](#source-53), [[54]](#source-54).","Open-Meteo. Forecast API documentation. https://open-meteo.com/en/docs","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"75","54","[[54]](#source-54)","Погодні ознаки також потребують явного source contract: для цього релевантні документації Open-Meteo Forecast API та Historical Weather API, але ці джерела не скасовують вимоги перевіряти availability timing і leakage risk [[53]](#source-53), [[54]](#source-54).","Open-Meteo. Historical Weather API documentation. https://open-meteo.com/en/docs/historical-weather-api","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"76","55","[[55]](#source-55)","У прикладній роботі академічна якість залежить не лише від вибору моделі, а й від відтворюваності evidence pipeline. Dagster software-defined assets підтримують materialization, lineage і asset checks [[55]](#source-55). MLflow tracking використовується як джерело експериментальних run records і метрик [[56]](#source-56). FastAPI дає read-model surface для операторського preview, а не execution endpoint [[57]](#source-57). Pydantic strict mode підтримує deterministic validation і boundary discipline [[58]](#source-58). Medallion architecture використовується як термінологічна основа для Bronze/Silver/Gold data layers [[59]](#source-59).","Dagster. Software-defined assets documentation. https://docs.dagster.io/guides/build/assets","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"77","56","[[56]](#source-56)","У прикладній роботі академічна якість залежить не лише від вибору моделі, а й від відтворюваності evidence pipeline. Dagster software-defined assets підтримують materialization, lineage і asset checks [[55]](#source-55). MLflow tracking використовується як джерело експериментальних run records і метрик [[56]](#source-56). FastAPI дає read-model surface для операторського preview, а не execution endpoint [[57]](#source-57). Pydantic strict mode підтримує deterministic validation і boundary discipline [[58]](#source-58). Medallion architecture використовується як термінологічна основа для Bronze/Silver/Gold data layers [[59]](#source-59).","MLflow. Tracking documentation. https://mlflow.org/docs/latest/ml/tracking/","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"78","57","[[57]](#source-57)","У прикладній роботі академічна якість залежить не лише від вибору моделі, а й від відтворюваності evidence pipeline. Dagster software-defined assets підтримують materialization, lineage і asset checks [[55]](#source-55). MLflow tracking використовується як джерело експериментальних run records і метрик [[56]](#source-56). FastAPI дає read-model surface для операторського preview, а не execution endpoint [[57]](#source-57). Pydantic strict mode підтримує deterministic validation і boundary discipline [[58]](#source-58). Medallion architecture використовується як термінологічна основа для Bronze/Silver/Gold data layers [[59]](#source-59).","FastAPI. FastAPI documentation. https://fastapi.tiangolo.com/","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"79","58","[[58]](#source-58)","У прикладній роботі академічна якість залежить не лише від вибору моделі, а й від відтворюваності evidence pipeline. Dagster software-defined assets підтримують materialization, lineage і asset checks [[55]](#source-55). MLflow tracking використовується як джерело експериментальних run records і метрик [[56]](#source-56). FastAPI дає read-model surface для операторського preview, а не execution endpoint [[57]](#source-57). Pydantic strict mode підтримує deterministic validation і boundary discipline [[58]](#source-58). Medallion architecture використовується як термінологічна основа для Bronze/Silver/Gold data layers [[59]](#source-59).","Pydantic. Strict mode documentation. https://docs.pydantic.dev/latest/concepts/strict_mode/","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"80","59","[[59]](#source-59)","У прикладній роботі академічна якість залежить не лише від вибору моделі, а й від відтворюваності evidence pipeline. Dagster software-defined assets підтримують materialization, lineage і asset checks [[55]](#source-55). MLflow tracking використовується як джерело експериментальних run records і метрик [[56]](#source-56). FastAPI дає read-model surface для операторського preview, а не execution endpoint [[57]](#source-57). Pydantic strict mode підтримує deterministic validation і boundary discipline [[58]](#source-58). Medallion architecture використовується як термінологічна основа для Bronze/Silver/Gold data layers [[59]](#source-59).","Databricks. What is the medallion lakehouse architecture? https://docs.databricks.com/aws/en/lakehouse/medallion","supported-topic-consistent","none","Databricks Docs source supports Medallion/Bronze/Silver/Gold terminology after URL correction."
"81","60","[[60]](#source-60)","Governance-контекст також включає AI Act regulatory framework як загальну рамку для data quality, human oversight, logging і risk management [[60]](#source-60). У роботі ці джерела не доводять market readiness, але підтримують engineering design: результати мають бути перевірюваними, відтворюваними й явно обмеженими.","European Commission. AI Act regulatory framework. https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"82","11","[[11]](#source-11)","Тому decision-aware evaluation у роботі не є додатковою прикрасою. Вона є відповіддю на центральну слабкість forecast-only підходу, описану в EPF benchmarking, PTO і storage-specific DFL літературі (Lago et al., 2021 [[11]](#source-11); Elmachtoub and Grigas, 2022 [[12]](#source-12); Sang et al., 2022/2023 [[13]](#source-13)). Regret/value оцінка відповідає на питання, яке реально важить для BESS owner: скільки економічної цінності втрачено відносно oracle і чи стало рішення кращим за conservative fallback.","Lago et al. Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark. DOI: 10.1016/j.apenergy.2021.116983. https://doi.org/10.1016/j.apenergy.2021.116983","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"83","12","[[12]](#source-12)","Тому decision-aware evaluation у роботі не є додатковою прикрасою. Вона є відповіддю на центральну слабкість forecast-only підходу, описану в EPF benchmarking, PTO і storage-specific DFL літературі (Lago et al., 2021 [[11]](#source-11); Elmachtoub and Grigas, 2022 [[12]](#source-12); Sang et al., 2022/2023 [[13]](#source-13)). Regret/value оцінка відповідає на питання, яке реально важить для BESS owner: скільки економічної цінності втрачено відносно oracle і чи стало рішення кращим за conservative fallback.","Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. https://doi.org/10.1287/mnsc.2020.3922","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"84","13","[[13]](#source-13)","Тому decision-aware evaluation у роботі не є додатковою прикрасою. Вона є відповіддю на центральну слабкість forecast-only підходу, описану в EPF benchmarking, PTO і storage-specific DFL літературі (Lago et al., 2021 [[11]](#source-11); Elmachtoub and Grigas, 2022 [[12]](#source-12); Sang et al., 2022/2023 [[13]](#source-13)). Regret/value оцінка відповідає на питання, яке реально важить для BESS owner: скільки економічної цінності втрачено відносно oracle і чи стало рішення кращим за conservative fallback.","Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. https://doi.org/10.1109/TSG.2022.3166791","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"85","15","[[15]](#source-15)","Огляд показує, що науково коректна постановка задачі для BESS arbitrage не зводиться до forecast leaderboard. Найбільш релевантний шлях для дипломного MVP - це evidence-based contour, де прогноз, LP optimization, regret/value metrics і source governance перевіряються разом. EPF-моделі на кшталт NBEATSx і TFT є обґрунтованими forecast candidates, але їхня цінність має підтверджуватися через downstream LP scheduling, net value і regret (Olivares et al., 2023 [[15]](#source-15); Lim et al., 2021 [[16]](#source-16); Lago et al., 2021 [[11]](#source-11)).","Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI: 10.1016/j.ijforecast.2022.03.001. https://arxiv.org/abs/2104.05522","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"86","16","[[16]](#source-16)","Огляд показує, що науково коректна постановка задачі для BESS arbitrage не зводиться до forecast leaderboard. Найбільш релевантний шлях для дипломного MVP - це evidence-based contour, де прогноз, LP optimization, regret/value metrics і source governance перевіряються разом. EPF-моделі на кшталт NBEATSx і TFT є обґрунтованими forecast candidates, але їхня цінність має підтверджуватися через downstream LP scheduling, net value і regret (Olivares et al., 2023 [[15]](#source-15); Lim et al., 2021 [[16]](#source-16); Lago et al., 2021 [[11]](#source-11)).","Lim et al. Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting. DOI: 10.48550/arXiv.1912.09363. https://arxiv.org/abs/1912.09363","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"87","11","[[11]](#source-11)","Огляд показує, що науково коректна постановка задачі для BESS arbitrage не зводиться до forecast leaderboard. Найбільш релевантний шлях для дипломного MVP - це evidence-based contour, де прогноз, LP optimization, regret/value metrics і source governance перевіряються разом. EPF-моделі на кшталт NBEATSx і TFT є обґрунтованими forecast candidates, але їхня цінність має підтверджуватися через downstream LP scheduling, net value і regret (Olivares et al., 2023 [[15]](#source-15); Lim et al., 2021 [[16]](#source-16); Lago et al., 2021 [[11]](#source-11)).","Lago et al. Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark. DOI: 10.1016/j.apenergy.2021.116983. https://doi.org/10.1016/j.apenergy.2021.116983","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"88","14","[[14]](#source-14)","Для роботи з цього випливають три методологічні вимоги. Перша: forecast candidates оцінюються через downstream LP/regret. Друга: source governance є явною, особливо для V13 і зовнішніх джерел. Третя: negative evidence залишається в тексті, бо саме вона показує, що система не просуває weak challengers. Ці вимоги формують методологію розділу 3 (Mandi et al., 2024 [[14]](#source-14); Yi et al., 2025 [[42]](#source-42); Chen et al., 2021 [[20]](#source-20)).","Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. https://arxiv.org/abs/2307.13565","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"89","42","[[42]](#source-42)","Для роботи з цього випливають три методологічні вимоги. Перша: forecast candidates оцінюються через downstream LP/regret. Друга: source governance є явною, особливо для V13 і зовнішніх джерел. Третя: negative evidence залишається в тексті, бо саме вона показує, що система не просуває weak challengers. Ці вимоги формують методологію розділу 3 (Mandi et al., 2024 [[14]](#source-14); Yi et al., 2025 [[42]](#source-42); Chen et al., 2021 [[20]](#source-20)).","Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"90","20","[[20]](#source-20)","Для роботи з цього випливають три методологічні вимоги. Перша: forecast candidates оцінюються через downstream LP/regret. Друга: source governance є явною, особливо для V13 і зовнішніх джерел. Третя: negative evidence залишається в тексті, бо саме вона показує, що система не просуває weak challengers. Ці вимоги формують методологію розділу 3 (Mandi et al., 2024 [[14]](#source-14); Yi et al., 2025 [[42]](#source-42); Chen et al., 2021 [[20]](#source-20)).","Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. https://arxiv.org/abs/2106.01345","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
